datetime,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN
1/29/16 1:00,1161.952,3594.616,8514.458,1702.645,2196.089,3254.923,5977.579,602.854
1/29/16 2:00,1129.204,3556.422,8137.728,1539.737,1969.49,3163.62,5898.373,605.418
1/29/16 3:00,1102.796,3539.795,7886.903,1484.615,1841.592,2990.198,5847.823,601.241
1/29/16 4:00,1090.166,3540.574,7750.063,1431.778,1788.473,3088.984,5910.083,602.852
1/29/16 5:00,1110.941,3532.14,7702.857,1434.94,1789.821,3335.777,5844.929,602.69
1/29/16 6:00,1139.539,3517.279,8312.966,1486.023,1924.699,3205.557,5790.134,600.505
1/29/16 7:00,1214.156,3801.501,8747.841,1505.39,2127.831,3330.722,6049.91,600.334
1/29/16 8:00,1258.156,4100.42,9025.472,1522.478,2180.371,3566.642,6362.205,598.329
1/29/16 9:00,1299.511,4143.423,9426.138,1607.417,2516.031,3527.702,6704.71,627.817
1/29/16 10:00,1319.723,4389.524,9661.043,1841.26,2686.098,3448.19,7118.318,627.446
1/29/16 11:00,1349.835,4876.329,9501.397,1947.857,2588.282,3398.61,7192.184,625.019
1/29/16 12:00,1363.323,4966.605,9629.623,1942.275,2527.097,3593.856,7184.577,623.188
1/29/16 13:00,1379.555,5036.601,9504.136,1939.532,2568.758,3572.214,7098.535,623.706
1/29/16 14:00,1392.082,5045.96,9524.292,1968.438,2598.307,3465.805,7142.95,623.219
1/29/16 15:00,1390.599,5017.79,9506.471,2035.975,2602.608,3422.333,6900.487,623.086
1/29/16 16:00,1354.796,5018.74,9517.956,2081.071,2597.785,3388.384,6689.123,647.861
1/29/16 17:00,1326.16,4944.976,9631.885,2135.46,2615.035,3324.391,6475.713,670.801
1/29/16 18:00,1381.478,4528.651,9582.172,2121.32,2605.581,3374.09,6738.523,668.748
1/29/16 19:00,1446.593,4304.788,9721.11,2224.695,2588.037,3529.292,6779.105,669.114
1/29/16 20:00,1430.277,4389.498,9959.135,2449.751,2445.584,3988.723,7261.906,667.189
1/29/16 21:00,1408.95,4373.578,9912.72,2432.475,2444.973,3898.015,7082.485,639.051
1/29/16 22:00,1353.018,4391.416,9699.899,2069.897,2466.466,3413.767,7009.489,511.482
1/29/16 23:00,1287.902,4102.569,9102.957,2010.34,2463.334,3314.657,6887.248,378.635
1/30/16 0:00,1189.139,3794.057,8792.732,1950.53,2500.824,3012.836,6440.753,352.197
1/30/16 1:00,1147.58,3683.787,8509.962,1697.089,2349.621,2999.574,6000.044,328.928
1/30/16 2:00,1106.454,3577.826,8269.721,1564.097,2298.238,2757.02,5818.169,305.961
1/30/16 3:00,1074.316,3483.345,7706.763,1556.459,2077.591,3027.607,5787.175,307.779
1/30/16 4:00,1062.138,3480.082,7738.136,1551.137,2068.959,2785.051,5530.939,307.291
1/30/16 5:00,1070.472,3482.606,7905.678,1552.319,2071.605,2690.167,5564.66,307.528
1/30/16 6:00,1074.207,3416.327,8095.12,1547.15,2316.397,2544.64,5613.043,308.356
1/30/16 7:00,1111.417,3525.84,8349.934,1581.895,2816.528,2345.588,5722.731,310.25
1/30/16 8:00,1126.821,3861.782,8818.807,1585.929,2839.463,2367.369,5714.018,311.016
1/30/16 9:00,1184.385,4062.937,8982.412,1606.911,2866.082,2537.287,6082.509,309.857
1/30/16 10:00,1221.35,4260.404,8831.85,1686.225,2859.652,2764.787,6987.121,334.559
1/30/16 11:00,1243.347,4593.94,8720.644,1982.643,2841.725,2698.092,7155.375,337.922
1/30/16 12:00,1272.407,4806.491,8861.798,2052.776,2846.348,2477.587,7149.129,371.247
1/30/16 13:00,1272.837,4871.563,8871.316,2055.707,2851.434,2454.749,7202.226,368.883
1/30/16 14:00,1259.802,4830.135,8795.757,2214.772,2841.519,2466.166,6981.852,366.782
1/30/16 15:00,1246.03,4745.247,8707.436,2252.952,2831.086,2477.158,6597.174,381.256
1/30/16 16:00,1234.164,4574.784,8694.737,2318.165,2815.584,2547.778,6120.214,414.887
1/30/16 17:00,1221.461,4334.62,8737.463,2333.097,2818.063,2618.474,5971.327,412.769
1/30/16 18:00,1310.785,4312.112,8990.599,2316.509,2802.091,2650.128,5989.023,399.084
1/30/16 19:00,1347.532,4491.61,9375.985,2406.493,2807.245,3108.224,6156.76,441.255
1/30/16 20:00,1336.367,4516.971,9581.737,2447.616,2804.902,3029.166,6523.346,504.819
1/30/16 21:00,1305.536,4532.154,9646.185,2263.152,2797.268,2687.31,6078.717,720.217
1/30/16 22:00,1261.283,4461.296,9552.303,2176.839,2799.968,2689.372,5767.812,790.11
