datetime,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN
02-10-16 00:00,1158.53,4012.112,9346.503,1459.466,2861.702,3033.264,6286.966,248.181
02-10-16 01:00,1088.319,3415.894,9083.761,1360.762,2622.584,2977.627,5871.769,154.594
02-10-16 02:00,1052.071,3328.507,8628.537,1252.805,2325.932,3139.84,5964.624,73.81
02-10-16 03:00,1027.087,3367.314,8457.231,1254.459,2337.698,2985.263,5600.071,73.638
02-10-16 04:00,1021.637,3169.404,8571.934,1256.366,2349.96,2973.791,5426.441,112.445
02-10-16 05:00,1040.851,3177.798,8710.083,1254.364,2453.278,2930.101,5331.101,137.007
02-10-16 06:00,1103.936,3575.473,8641.802,1255.24,2724.435,3077.952,5485.73,154.447
02-10-16 07:00,1188.033,4040.638,8823.956,1293.162,2847.969,3318.658,6137.799,155.081
02-10-16 08:00,1279.497,4172.273,8993.693,1363.696,2860.914,3343.127,7151.102,157.615
02-10-16 09:00,1322.797,4261.988,9314.184,1440.593,2868.385,3343.869,7437.149,154.869
02-10-16 10:00,1350.436,4323.659,9422.439,1463.39,2710.555,3449.828,8355.549,158.416
02-10-16 11:00,1364.36,4333.595,9355.773,1459.285,2658.166,3343.509,9159.269,159.643
02-10-16 12:00,1415.924,4114.483,9577.004,1453.122,2652.73,3284.347,9359.973,160.502
02-10-16 13:00,1413.637,4153.085,9485.14,1526.096,2643.787,3363.892,9367.509,161.872
02-10-16 14:00,1411.021,4184.848,9488.091,1574.808,2655.922,3349.164,9082.86,163.376
02-10-16 15:00,1424.703,4337.193,9479.231,1833.242,2650.837,3312.009,8529.268,172.057
02-10-16 16:00,1411.744,4510.783,9407.133,1915.895,2642.595,3306.889,8398.147,190.371
02-10-16 17:00,1404.932,4564.541,9517.672,1940.224,2591.393,3312.299,8317.807,227.948
02-10-16 18:00,1430.276,4609.464,9663.157,1956.441,2592.355,3359.119,7755.414,317.681
02-10-16 19:00,1494.127,4871.137,9863.558,1994.095,2587.589,3455.149,7697.528,349.444
02-10-16 20:00,1470.947,4908.428,9779.796,1955.317,2609.209,4004.131,8449.331,368.922
02-10-16 21:00,1433.56,4896.35,9630.264,1818.594,2618.21,4046.289,8276.868,360.065
02-10-16 22:00,1378.552,4589.71,9525.854,1824.803,2622.066,3731.461,7815.166,365.089
02-10-16 23:00,1266.757,4369.108,9372.198,1698.507,2717.561,3408.966,7066.356,367.707
02-11-16 00:00,1185.023,3831.97,8975.86,1591.157,2608.312,3307.454,6670.111,369.724
02-11-16 01:00,1101.595,3621.179,8186.518,1496.979,2145.928,3032.114,6589.084,405.261
02-11-16 02:00,1062.819,3511.83,7830.033,1405.302,2005.752,3078.98,6262.468,406.699
02-11-16 03:00,1045.735,3398.336,7838.949,1395.448,1968.605,3098.239,5965.52,415.042
02-11-16 04:00,1031.094,3207.849,7718.966,1396.619,1929.749,3018.006,6007.088,430.818
02-11-16 05:00,1053.813,3198.298,7955.006,1430.61,1961.279,2731.324,6147.438,487.382
02-11-16 06:00,1105.99,3260.408,8452.056,1426.982,2249.707,2706.185,6232.152,495.348
02-11-16 07:00,1175.998,3421.974,8829.613,1456.517,2626.928,3043.122,6511.824,576.375
02-11-16 08:00,1268.521,3886.048,8875.394,1530.295,2863.944,3069.102,6730.939,627.163
02-11-16 09:00,1302.444,4183.954,9100.77,1618.548,2895.85,3038.719,6820.742,636.194
02-11-16 10:00,1349.183,4437.416,9212.567,1750.341,2909.305,3044.41,7232.671,677.738
02-11-16 11:00,1375.295,4739.532,9281.911,1828.073,2893.455,3045.855,7123.255,696.635
02-11-16 12:00,1408.147,4900.384,9364.73,2047.03,2902.988,3033.266,7009.024,695.67
02-11-16 13:00,1395.631,4814.557,9321.425,2121.269,2919.778,3057.779,7215.566,694.824
02-11-16 14:00,1396.372,4835.029,9225.286,2123.255,2915.108,3116.379,7185.024,692.933
02-11-16 15:00,1415.402,4767.592,9248.436,2144.59,2917.23,3200.896,7175.38,687.944
02-11-16 16:00,1400.56,4741.885,9306.592,2145.863,2918.583,3199.186,7213.109,690.434
02-11-16 17:00,1380.729,4815.649,9183.448,2174.604,2894.426,3245.57,7168.359,688.299
02-11-16 18:00,1420.473,4618.342,9281.71,2187.94,2903.959,3316.755,6904.825,690.406
02-11-16 19:00,1512.899,4780.524,9379.73,2137.71,2904.622,3315.691,7284.001,723.099
02-11-16 20:00,1495.938,5188.528,9520.608,2170.092,2927.973,3747.815,7751.151,723.585
02-11-16 21:00,1459.795,5261.809,9483.316,2074.853,2923.714,3736.041,7505.195,684.217
02-11-16 22:00,1401.88,5064.285,9189.623,1941.72,2873.628,3162.367,7474.401,691.011
02-11-16 23:00,1324.743,4683.924,9172.266,1874.947,2842.933,3233.801,6613.251,696.617
02-12-16 00:00,1186.96,4517.946,8821.903,1678.266,2774.296,2970.031,6384.934,632.795
02-12-16 01:00,1164.497,3875.226,8461.87,1552.049,2636.716,2605.277,6391.397,571.332
02-12-16 02:00,1086.245,3191.535,8402.502,1428.876,2469.239,2647.717,6323.689,569.038
02-12-16 03:00,1061.515,3085.388,8266.505,1427.874,2207.292,2763.309,6175.751,569.63
02-12-16 04:00,1050.093,3109.809,8361.844,1432.483,2136.777,2671.585,6127.287,570.268
02-12-16 05:00,1055.341,3084.464,8369.508,1419.857,2126.438,2836.548,6140.019,569.917
02-12-16 06:00,1109.658,3369.65,8551.864,1436.216,2465.326,2713.703,6161.412,567.397
02-12-16 07:00,1194.799,4129.166,8690.26,1493.38,2833.609,2741.573,6672.522,567.087
02-12-16 08:00,1269.971,4000.378,8821.28,1529.956,2887.66,3027.119,7173.526,561.146
02-12-16 09:00,1304.829,4125.416,9166.568,1564.514,2986.359,3213.569,7478.249,565.556
02-12-16 10:00,1341.683,4325.159,9064.992,1666.434,2951.265,3257.477,8095.615,562.925
02-12-16 11:00,1371.429,4456.748,9131.413,1785.322,2967.931,3321.996,8391.066,560.739
02-12-16 12:00,1409.53,4373.121,9202.2,1804.056,2974.653,3379.306,8645.077,559.379
02-12-16 13:00,1421.814,4434.654,9259.893,1849.31,2879.155,3297.905,8562.769,558.893
02-12-16 14:00,1412.647,4471.944,9381.791,1861.656,2907.058,3368.541,8238.099,557.619
02-12-16 15:00,1423.001,4470.263,9268.842,1925.575,2914.753,3351.844,8178.22,556.494
02-12-16 16:00,1402.568,4654.804,9412.998,1973.971,2962.709,3318.319,7726.117,558.808
02-12-16 17:00,1370.621,4695.484,9450.074,1973.138,2962.503,3328.918,7569.99,559.387
02-12-16 18:00,1362.334,4638.43,9496.506,1966.951,2958.241,3311.352,7216.844,561.04
02-12-16 19:00,1440.328,4640.464,9566.989,2091.265,2947.269,3619.489,7253.178,553.302
02-12-16 20:00,1425.849,4887.484,9621.935,2331.093,2958.754,3909.778,7803.616,553.461
02-12-16 21:00,1377.796,4955.961,9499.937,2358.797,2967.161,3560.693,7538.462,553.887
02-12-16 22:00,1320.512,4669.961,9345.364,2149.166,2966.683,3410.579,7120.293,552.722
02-12-16 23:00,1254.162,4368.981,9424.473,1765.119,2977.269,3542.29,6393.576,560.48
